First Name,Last Name,Political Party,Start Year,End Year,Assassinated,Birth State,Serve in Military,presidency number,Age at Start of presidency,Served in Congress,Served in the House of Representatives,Served in the Senate,Former State Governors,Attended Ivy League School,Died in Office,Serve as Vice President,Years in Office,Nobel Prize Winner,Impeached,Won without Popular Vote,Cold War President,Appears on Currency,Won Re-election,Born Before 1800,Born 1800 - 1900,Appears on Mount Rushmore,Born 1900-2000,Met Queen Elizabeth II,Has Facial Hair,Height,College Degree,Weight,Unmarried in office,Serve as Secretary of State,No biological children,Foundng father,Portrait url
Gerald,Ford,Republican,1974,1977,No,Nebraska,Yes,38,61,Yes,Yes,No,No,Yes,No,Yes,2,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,72,Yes,190,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg/1024px-Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg
Jimmy,Carter,Democratic,1977,1981,No,Georgia,Yes,39,52,No,No,No,Yes,No,No,No,4,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,69.5,Yes,160,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/6/68/Carter_cropped.jpg
Ronald ,Reagan,Republican,1981,1989,No,Illinois,Yes,40,69,No,No,No,Yes,No,No,No,8,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,73,Yes,185,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Official_Portrait_of_President_Reagan_1981-cropped.jpg/1024px-Official_Portrait_of_President_Reagan_1981-cropped.jpg
George H.W.,Bush,Republican,1989,1993,No,Massachusetts,Yes,41,64,Yes,Yes,No,No,Yes,No,Yes,4,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,74,Yes,196,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/George_H._W._Bush_presidential_portrait_%28cropped%29.jpg/400px-George_H._W._Bush_presidential_portrait_%28cropped%29.jpg
Bill ,Clinton,Democratic,1993,2001,No,Arkansas,No,42,46,No,No,No,Yes,Yes,No,No,8,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,74.5,Yes,223,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/1024px-Bill_Clinton.jpg
George W. ,Bush,Republican,2001,2009,No,Connecticut,Yes,43,54,No,No,No,Yes,Yes,No,No,8,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,71.5,Yes,191,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/1024px-George-W-Bush.jpeg
Barack,Obama,Democratic,2009,2017,No,Hawaii,No,44,47,Yes,No,Yes,No,Yes,No,No,8,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,73.5,Yes,180,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/President_Barack_Obama%2C_2012_portrait_crop.jpg/1280px-President_Barack_Obama%2C_2012_portrait_crop.jpg
Donald ,Trump,Republican,2017,2021,No,New York,No,45,70,No,No,No,No,Yes,No,No,4,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,74,Yes,239,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Donald_Trump_official_portrait_%283x4a%29.jpg/1024px-Donald_Trump_official_portrait_%283x4a%29.jpg
Joe,Biden,Democratic,2021,2025,No,Pennsylvania,No,46,78,Yes,No,Yes,No,No,No,Yes,4,No,No,No,No,No,No,No,No,No,Yes,Yes,No,72,Yes,178,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Joe_Biden_presidential_portrait_%28cropped%29.jpg/1024px-Joe_Biden_presidential_portrait_%28cropped%29.jpg
Donald ,Trump,Republican,2025,2029,No,New York,No,47,78,No,No,No,No,Yes,No,No,4,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,74,Yes,239,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Donald_Trump_official_portrait_%283x4a%29.jpg/1024px-Donald_Trump_official_portrait_%283x4a%29.jpg
