Country Name,Capital,Country Name in Capital,Continent,Region,Population #,Largest Country,Landlocked,Primary Religion,Countries on the equator,Island Nation,Borders China,Borders Russia,Number of Bordering Countries,To Host Olympics,World Cup Winner,NATO Member,Image Url
Kazakhstan,Nur-Sultan,No,Asia,Central Asia,64,9,Yes,Islam,No,No,Yes,No,5,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/500px-Flag_of_Kazakhstan.svg.png
Kenya,Nairobi,No,africa,Eastern Africa,26,47,No,Chirstianity,Yes,No,No,Yes,5,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/500px-Flag_of_Kenya.svg.png
Kiribati,South Tarawa,No,Oceania,Micronesia,178,172,No,Chirstianity,Yes,Yes,No,No,0,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/500px-Flag_of_Kiribati.svg.png
Kuwait,Kuwait City,Yes,Asia,Middle East,126,152,No,Islam,No,No,No,No,2,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/500px-Flag_of_Kuwait.svg.png
Kyrgyzstan,Bishkek,No,Asia,Central Asia,105,85,Yes,Islam,No,No,Yes,No,4,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/500px-Flag_of_Kyrgyzstan.svg.png
Laos,Vientiane,No,Asia,South-eastern Asia,102,82,Yes,Buddhism,No,No,Yes,No,5,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/500px-Flag_of_Laos.svg.png
Latvia,Riga,No,Europe,Northern Europe,148,122,No,Chirstianity,No,No,No,No,4,No,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/500px-Flag_of_Latvia.svg.png
Lebanon,Beirut,No,Asia,Middle East,114,161,No,Islam,No,No,No,Yes,2,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/500px-Flag_of_Lebanon.svg.png
Lesotho,Maseru,No,Africa,Southern Africa,144,137,Yes,Chirstianity,No,No,No,No,1,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/500px-Flag_of_Lesotho.svg.png
Liberia,Monrovia,No,Africa,Western Africa,115,102,No,Chirstianity,No,No,No,No,3,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/500px-Flag_of_Liberia.svg.png
